Name,API_Name,Instance_Memory,vCPUs,GiB_of_Memory_per_vCPU,GPUs,Instance_Storage,On_Demand,Linux_Reserved_cost,Windows_Reserved_Cost,Windows_Spot_Cost,Service_Provider
Standard EC96as v5,EC96as v5,672.0 GiB,96 vCPUs,7.00 GiB/vCPU,0,0,$5.4240 hourly,$4.3392 hourly,$8.7552 hourly,$6.8880 hourly,Microsoft Azure
Standard DC48ds v3,DC48ds v3,384.0 GiB,48 vCPUs,8.00 GiB/vCPU,0,2400,$5.4240 hourly,$4.3392 hourly,$6.5472 hourly,$0.7632 hourly,Microsoft Azure
Standard L64s v3,L64s v3,512.0 GiB,64 vCPUs,8.00 GiB/vCPU,0,640,$5.5680 hourly,$3.5635 hourly,$6.5075 hourly,$0.8512 hourly,Microsoft Azure
D64as v6,D64as v6,256.0 GiB,64 vCPUs,4.00 GiB/vCPU,0,0,$5.5870 hourly,unavailable,unavailable,$1.3967 hourly,Microsoft Azure
Standard E80ids v4,E80ids v4,504.0 GiB,80 vCPUs,6.30 GiB/vCPU,0,2400,$5.7600 hourly,$3.3858 hourly,$7.0658 hourly,$0.9440 hourly,Microsoft Azure
F64ams v6,F64ams v6,512.0 GiB,64 vCPUs,8.00 GiB/vCPU,0,0,$5.9460 hourly,unavailable,unavailable,$2.2225 hourly,Microsoft Azure
Standard EC96ias v5,EC96ias v5,672.0 GiB,96 vCPUs,7.00 GiB/vCPU,0,0,$5.9660 hourly,$4.7732 hourly,$9.1892 hourly,$7.2674 hourly,Microsoft Azure
Standard M32ms v2,M32ms v2,875.0 GiB,32 vCPUs,27.34 GiB/vCPU,0,0,$6.0410 hourly,$3.5134 hourly,$4.9854 hourly,$0.7513 hourly,Microsoft Azure
E96-24ads v5,E96-24ads v5,672.0 GiB,96 vCPUs,7.00 GiB/vCPU,0,3600,$6.0480 hourly,$3.5683 hourly,$7.9843 hourly,$1.0464 hourly,Microsoft Azure
Standard E96as v4,E96as v4,672.0 GiB,96 vCPUs,7.00 GiB/vCPU,0,1344,$6.0480 hourly,$3.5562 hourly,$7.9722 hourly,$1.0464 hourly,Microsoft Azure
Standard E96a v4,E96a v4,672.0 GiB,96 vCPUs,7.00 GiB/vCPU,0,2400,$6.0480 hourly,$3.5562 hourly,$7.9722 hourly,$1.0464 hourly,Microsoft Azure
Standard E96s v5,E96s v5,672.0 GiB,96 vCPUs,7.00 GiB/vCPU,0,0,$6.0480 hourly,$3.5683 hourly,$7.9843 hourly,$1.0464 hourly,Microsoft Azure
Standard E96 v5,E96 v5,672.0 GiB,96 vCPUs,7.00 GiB/vCPU,0,0,$6.0480 hourly,$3.5683 hourly,$7.9843 hourly,$1.0464 hourly,Microsoft Azure
