Name,API_Name,Instance_Memory,vCPUs,GiB_of_Memory_per_vCPU,GPUs,Instance_Storage,On_Demand,Linux_Reserved_cost,Windows_Reserved_Cost,Windows_Spot_Cost,Service_Provider
S96,S96,768.0 GiB,96 vCPUs,8.00 GiB/vCPU,0,3072,unavailable,$4.0808 hourly,unavailable,unavailable,Microsoft Azure
Standard NV16as v4,NV16as v4,56.0 GiB,16 vCPUs,3.50 GiB/vCPU,1/2 MI25 (8GB VRAM),352,unavailable,unavailable,$1.3325 hourly,$0.1668 hourly,Microsoft Azure
Standard NV32as v4,NV32as v4,112.0 GiB,32 vCPUs,3.50 GiB/vCPU,1x MI25 (16GB VRAM),700,unavailable,unavailable,$2.6649 hourly,$0.3336 hourly,Microsoft Azure
Standard NV4as v4,NV4as v4,14.0 GiB,4 vCPUs,3.50 GiB/vCPU,1/8th MI25 (2GB VRAM),88,unavailable,unavailable,$0.3331 hourly,$0.0417 hourly,Microsoft Azure
Standard NV8as v4,NV8as v4,28.0 GiB,8 vCPUs,3.50 GiB/vCPU,1/4th MI25 (4GB VRAM),176,unavailable,unavailable,$0.6663 hourly,$0.0834 hourly,Microsoft Azure
T4G Nano,t4g.nano,0.5 GiB,2 vCPUs,0.25 GiB/vCPU,0,EBS only,$0.0028 hourly,$0.0018 hourly,unavailable,unavailable,Amazon EC2
T3A Nano,t3a.nano,0.5 GiB,2 vCPUs,0.25 GiB/vCPU,0,EBS only,$0.0031 hourly,$0.0019 hourly,$0.0065 hourly,$0.0055 hourly,Amazon EC2
T3 Nano,t3.nano,0.5 GiB,2 vCPUs,0.25 GiB/vCPU,0,EBS only,$0.0056 hourly,$0.0035 hourly,$0.0081 hourly,$0.0062 hourly,Amazon EC2
T4G Micro,t4g.micro,1.0 GiB,2 vCPUs,0.50 GiB/vCPU,0,EBS only,$0.0056 hourly,$0.0035 hourly,unavailable,unavailable,Amazon EC2
T2 Nano,t2.nano,0.5 GiB,1 vCPUs,0.50 GiB/vCPU,0,EBS only,$0.0062 hourly,$0.0039 hourly,$0.0062 hourly,unavailable,Amazon EC2
T3A Micro,t3a.micro,1.0 GiB,2 vCPUs,0.50 GiB/vCPU,0,EBS only,$0.0062 hourly,$0.0039 hourly,$0.0131 hourly,$0.0111 hourly,Amazon EC2
T3 Micro,t3.micro,1.0 GiB,2 vCPUs,0.50 GiB/vCPU,0,EBS only,$0.0112 hourly,$0.0071 hourly,$0.0163 hourly,$0.0122 hourly,Amazon EC2
T4G Small,t4g.small,2.0 GiB,2 vCPUs,1.00 GiB/vCPU,0,EBS only,$0.0112 hourly,$0.0071 hourly,unavailable,unavailable,Amazon EC2
T3A Small,t3a.small,2.0 GiB,2 vCPUs,1.00 GiB/vCPU,0,EBS only,$0.0123 hourly,$0.0078 hourly,$0.0262 hourly,$0.0219 hourly,Amazon EC2
T2 Micro,t2.micro,1.0 GiB,1 vCPUs,1.00 GiB/vCPU,0,EBS only,$0.0124 hourly,$0.0077 hourly,$0.0123 hourly,$0.0079 hourly,Amazon EC2
C6G Medium,c6g.medium,2.0 GiB,1 vCPUs,2.00 GiB/vCPU,0,EBS only,$0.0213 hourly,$0.0134 hourly,unavailable,unavailable,Amazon EC2
T3 Small,t3.small,2.0 GiB,2 vCPUs,1.00 GiB/vCPU,0,EBS only,$0.0224 hourly,$0.0141 hourly,$0.0325 hourly,$0.0246 hourly,Amazon EC2
T4G Medium,t4g.medium,4.0 GiB,2 vCPUs,2.00 GiB/vCPU,0,EBS only,$0.0224 hourly,$0.0142 hourly,unavailable,unavailable,Amazon EC2
C7G Medium,c7g.medium,2.0 GiB,1 vCPUs,2.00 GiB/vCPU,0,EBS only,$0.0245 hourly,$0.0162 hourly,unavailable,unavailable,Amazon EC2
C6GD Medium,c6gd.medium,2.0 GiB,1 vCPUs,2.00 GiB/vCPU,0,59 GB NVMe SSD,$0.0245 hourly,$0.0154 hourly,unavailable,unavailable,Amazon EC2
T3A Medium,t3a.medium,4.0 GiB,2 vCPUs,2.00 GiB/vCPU,0,EBS only,$0.0246 hourly,$0.0155 hourly,$0.0339 hourly,$0.0252 hourly,Amazon EC2
T2 Small,t2.small,2.0 GiB,1 vCPUs,2.00 GiB/vCPU,0,EBS only,$0.0248 hourly,$0.0155 hourly,$0.0247 hourly,$0.0162 hourly,Amazon EC2
M6G Medium,m6g.medium,4.0 GiB,1 vCPUs,4.00 GiB/vCPU,0,EBS only,$0.0253 hourly,$0.0159 hourly,unavailable,unavailable,Amazon EC2
A1 Medium,a1.medium,2.0 GiB,1 vCPUs,2.00 GiB/vCPU,0,EBS only,$0.0255 hourly,$0.0161 hourly,unavailable,unavailable,Amazon EC2
C7GD Medium,c7gd.medium,2.0 GiB,1 vCPUs,2.00 GiB/vCPU,0,59 GB NVMe SSD,$0.0288 hourly,$0.0181 hourly,unavailable,unavailable,Amazon EC2
M7G Medium,m7g.medium,4.0 GiB,1 vCPUs,4.00 GiB/vCPU,0,EBS only,$0.0292 hourly,$0.0193 hourly,unavailable,unavailable,Amazon EC2
M6GD Medium,m6gd.medium,4.0 GiB,1 vCPUs,4.00 GiB/vCPU,0,59 GB NVMe SSD,$0.0302 hourly,$0.0190 hourly,unavailable,unavailable,Amazon EC2
R6G Medium,r6g.medium,8.0 GiB,1 vCPUs,8.00 GiB/vCPU,0,EBS only,$0.0325 hourly,$0.0205 hourly,unavailable,unavailable,Amazon EC2
M7GD Medium,m7gd.medium,4.0 GiB,1 vCPUs,4.00 GiB/vCPU,0,59 GB NVMe SSD,$0.0355 hourly,$0.0224 hourly,unavailable,unavailable,Amazon EC2
R6GD Medium,r6gd.medium,8.0 GiB,1 vCPUs,8.00 GiB/vCPU,0,59 GB NVMe SSD,$0.0374 hourly,$0.0235 hourly,unavailable,unavailable,Amazon EC2
R7G Medium,r7g.medium,8.0 GiB,1 vCPUs,8.00 GiB/vCPU,0,EBS only,$0.0375 hourly,$0.0247 hourly,unavailable,unavailable,Amazon EC2
C6G Large,c6g.large,4.0 GiB,2 vCPUs,2.00 GiB/vCPU,0,EBS only,$0.0426 hourly,$0.0268 hourly,unavailable,unavailable,Amazon EC2
C6GN Medium,c6gn.medium,2.0 GiB,1 vCPUs,2.00 GiB/vCPU,0,EBS only,$0.0432 hourly,$0.0273 hourly,unavailable,unavailable,Amazon EC2
R7GD Medium,r7gd.medium,8.0 GiB,1 vCPUs,8.00 GiB/vCPU,0,59 GB NVMe SSD,$0.0440 hourly,$0.0277 hourly,unavailable,unavailable,Amazon EC2
T3 Medium,t3.medium,4.0 GiB,2 vCPUs,2.00 GiB/vCPU,0,EBS only,$0.0448 hourly,$0.0282 hourly,$0.0466 hourly,$0.0308 hourly,Amazon EC2
T4G Large,t4g.large,8.0 GiB,2 vCPUs,4.00 GiB/vCPU,0,EBS only,$0.0448 hourly,$0.0283 hourly,unavailable,unavailable,Amazon EC2
C6A Large,c6a.large,4.0 GiB,2 vCPUs,2.00 GiB/vCPU,0,EBS only,$0.0467 hourly,$0.0309 hourly,$0.1230 hourly,$0.1060 hourly,Amazon EC2
C5A Large,c5a.large,4.0 GiB,2 vCPUs,2.00 GiB/vCPU,0,EBS only,$0.0470 hourly,$0.0300 hourly,$0.1220 hourly,$0.1054 hourly,Amazon EC2
C6GD Large,c6gd.large,4.0 GiB,2 vCPUs,2.00 GiB/vCPU,0,118 GB NVMe SSD,$0.0490 hourly,$0.0309 hourly,unavailable,unavailable,Amazon EC2
C7G Large,c7g.large,4.0 GiB,2 vCPUs,2.00 GiB/vCPU,0,EBS only,$0.0491 hourly,$0.0325 hourly,unavailable,unavailable,Amazon EC2
T3A Large,t3a.large,8.0 GiB,2 vCPUs,4.00 GiB/vCPU,0,EBS only,$0.0493 hourly,$0.0310 hourly,$0.0586 hourly,$0.0418 hourly,Amazon EC2
T2 Medium,t2.medium,4.0 GiB,2 vCPUs,2.00 GiB/vCPU,0,EBS only,$0.0496 hourly,$0.0309 hourly,$0.0489 hourly,$0.0324 hourly,Amazon EC2
M6G Large,m6g.large,8.0 GiB,2 vCPUs,4.00 GiB/vCPU,0,EBS only,$0.0506 hourly,$0.0319 hourly,unavailable,unavailable,Amazon EC2
A1 Large,a1.large,4.0 GiB,2 vCPUs,2.00 GiB/vCPU,0,EBS only,$0.0510 hourly,$0.0321 hourly,unavailable,unavailable,Amazon EC2
M6A Large,m6a.large,8.0 GiB,2 vCPUs,4.00 GiB/vCPU,0,EBS only,$0.0556 hourly,$0.0367 hourly,$0.1287 hourly,$0.1087 hourly,Amazon EC2
M5A Large,m5a.large,8.0 GiB,2 vCPUs,4.00 GiB/vCPU,0,EBS only,$0.0560 hourly,$0.0350 hourly,$0.1270 hourly,$0.1092 hourly,Amazon EC2
C7GD Large,c7gd.large,4.0 GiB,2 vCPUs,2.00 GiB/vCPU,0,118 GB NVMe SSD,$0.0576 hourly,$0.0363 hourly,unavailable,unavailable,Amazon EC2
M7G Large,m7g.large,8.0 GiB,2 vCPUs,4.00 GiB/vCPU,0,EBS only,$0.0583 hourly,$0.0385 hourly,unavailable,unavailable,Amazon EC2
M6GD Large,m6gd.large,8.0 GiB,2 vCPUs,4.00 GiB/vCPU,0,118 GB NVMe SSD,$0.0604 hourly,$0.0381 hourly,unavailable,unavailable,Amazon EC2
R6G Large,r6g.large,16.0 GiB,2 vCPUs,8.00 GiB/vCPU,0,EBS only,$0.0650 hourly,$0.0410 hourly,unavailable,unavailable,Amazon EC2
M5AD Large,m5ad.large,8.0 GiB,2 vCPUs,4.00 GiB/vCPU,0,75 GB NVMe SSD,$0.0670 hourly,$0.0420 hourly,$0.1340 hourly,$0.1126 hourly,Amazon EC2
M7GD Large,m7gd.large,8.0 GiB,2 vCPUs,4.00 GiB/vCPU,0,118 GB NVMe SSD,$0.0710 hourly,$0.0447 hourly,unavailable,unavailable,Amazon EC2
R6A Large,r6a.large,16.0 GiB,2 vCPUs,8.00 GiB/vCPU,0,EBS only,$0.0715 hourly,$0.0470 hourly,$0.1390 hourly,$0.1146 hourly,Amazon EC2
R5A Large,r5a.large,16.0 GiB,2 vCPUs,8.00 GiB/vCPU,0,EBS only,$0.0720 hourly,$0.0450 hourly,$0.1370 hourly,$0.1127 hourly,Amazon EC2
R6GD Large,r6gd.large,16.0 GiB,2 vCPUs,8.00 GiB/vCPU,0,118 GB NVMe SSD,$0.0747 hourly,$0.0471 hourly,unavailable,unavailable,Amazon EC2
R7G Large,r7g.large,16.0 GiB,2 vCPUs,8.00 GiB/vCPU,0,EBS only,$0.0751 hourly,$0.0493 hourly,unavailable,unavailable,Amazon EC2
R5AD Large,r5ad.large,16.0 GiB,2 vCPUs,8.00 GiB/vCPU,0,75 GB NVMe SSD,$0.0830 hourly,$0.0520 hourly,$0.1440 hourly,$0.1159 hourly,Amazon EC2
C5 High-CPU Large,c5.large,4.0 GiB,2 vCPUs,2.00 GiB/vCPU,0,EBS only,$0.0850 hourly,$0.0540 hourly,$0.1460 hourly,$0.1171 hourly,Amazon EC2
C6I Large,c6i.large,4.0 GiB,2 vCPUs,2.00 GiB/vCPU,0,EBS only,$0.0850 hourly,$0.0563 hourly,$0.1483 hourly,$0.1162 hourly,Amazon EC2
C6G Extra Large,c6g.xlarge,8.0 GiB,4 vCPUs,2.00 GiB/vCPU,0,EBS only,$0.0852 hourly,$0.0537 hourly,unavailable,unavailable,Amazon EC2
C6GN Large,c6gn.large,4.0 GiB,2 vCPUs,2.00 GiB/vCPU,0,EBS only,$0.0865 hourly,$0.0546 hourly,unavailable,unavailable,Amazon EC2
R7GD Large,r7gd.large,16.0 GiB,2 vCPUs,8.00 GiB/vCPU,0,118 GB NVMe SSD,$0.0880 hourly,$0.0554 hourly,unavailable,unavailable,Amazon EC2
C7I Large,c7i.large,4.0 GiB,2 vCPUs,2.00 GiB/vCPU,0,EBS only,$0.0892 hourly,$0.0591 hourly,$0.1511 hourly,$0.1155 hourly,Amazon EC2
T3 Large,t3.large,8.0 GiB,2 vCPUs,4.00 GiB/vCPU,0,EBS only,$0.0896 hourly,$0.0564 hourly,$0.0840 hourly,$0.0548 hourly,Amazon EC2
T4G Extra Large,t4g.xlarge,16.0 GiB,4 vCPUs,4.00 GiB/vCPU,0,EBS only,$0.0896 hourly,$0.0567 hourly,unavailable,unavailable,Amazon EC2
C6A Extra Large,c6a.xlarge,8.0 GiB,4 vCPUs,2.00 GiB/vCPU,0,EBS only,$0.0935 hourly,$0.0619 hourly,$0.2459 hourly,$0.2133 hourly,Amazon EC2
C5A Extra Large,c5a.xlarge,8.0 GiB,4 vCPUs,2.00 GiB/vCPU,0,EBS only,$0.0940 hourly,$0.0590 hourly,$0.2430 hourly,$0.2139 hourly,Amazon EC2
C6GD Extra Large,c6gd.xlarge,8.0 GiB,4 vCPUs,2.00 GiB/vCPU,0,237 GB NVMe SSD,$0.0980 hourly,$0.0617 hourly,unavailable,unavailable,Amazon EC2
C7G Extra Large,c7g.xlarge,8.0 GiB,4 vCPUs,2.00 GiB/vCPU,0,EBS only,$0.0982 hourly,$0.0650 hourly,unavailable,unavailable,Amazon EC2
T3A Extra Large,t3a.xlarge,16.0 GiB,4 vCPUs,4.00 GiB/vCPU,0,EBS only,$0.0986 hourly,$0.0621 hourly,$0.1357 hourly,$0.1026 hourly,Amazon EC2
C5 High-CPU Large,c5d.large,4.0 GiB,2 vCPUs,2.00 GiB/vCPU,0,50 GB NVMe SSD,$0.0990 hourly,$0.0620 hourly,$0.1540 hourly,$0.1192 hourly,Amazon EC2
T2 Large,t2.large,8.0 GiB,2 vCPUs,4.00 GiB/vCPU,0,EBS only,$0.0992 hourly,$0.0618 hourly,$0.0898 hourly,$0.0562 hourly,Amazon EC2
C4 High-CPU Large,c4.large,3.75 GiB,2 vCPUs,1.88 GiB/vCPU,0,EBS only,$0.1000 hourly,$0.0680 hourly,$0.1600 hourly,$0.1216 hourly,Amazon EC2
M7I-FLEX Large,m7i-flex.large,8.0 GiB,2 vCPUs,4.00 GiB/vCPU,0,EBS only,$0.1008 hourly,$0.0665 hourly,$0.1539 hourly,$0.1174 hourly,Amazon EC2
M6I Large,m6i.large,8.0 GiB,2 vCPUs,4.00 GiB/vCPU,0,EBS only,$0.1010 hourly,$0.0667 hourly,$0.1587 hourly,$0.1223 hourly,Amazon EC2
M5 General Purpose Large,m5.large,8.0 GiB,2 vCPUs,4.00 GiB/vCPU,0,EBS only,$0.1010 hourly,$0.0640 hourly,$0.1560 hourly,$0.1218 hourly,Amazon EC2
M6G Extra Large,m6g.xlarge,16.0 GiB,4 vCPUs,4.00 GiB/vCPU,0,EBS only,$0.1012 hourly,$0.0638 hourly,unavailable,unavailable,Amazon EC2
A1 Extra Large,a1.xlarge,8.0 GiB,4 vCPUs,2.00 GiB/vCPU,0,EBS only,$0.1020 hourly,$0.0643 hourly,unavailable,unavailable,Amazon EC2
M4 General Purpose Large,m4.large,8.0 GiB,2 vCPUs,4.00 GiB/vCPU,0,EBS only,$0.1050 hourly,$0.0654 hourly,$0.1574 hourly,$0.1218 hourly,Amazon EC2
M7I Large,m7i.large,8.0 GiB,2 vCPUs,4.00 GiB/vCPU,0,EBS only,$0.1061 hourly,$0.0700 hourly,$0.1620 hourly,$0.1234 hourly,Amazon EC2
C5N Large,c5n.large,5.25 GiB,2 vCPUs,2.62 GiB/vCPU,0,EBS only,$0.1080 hourly,$0.0680 hourly,$0.1600 hourly,$0.1234 hourly,Amazon EC2
M5A Extra Large,m5a.xlarge,16.0 GiB,4 vCPUs,4.00 GiB/vCPU,0,EBS only,$0.1110 hourly,$0.0700 hourly,$0.2540 hourly,$0.2207 hourly,Amazon EC2
M6A Extra Large,m6a.xlarge,16.0 GiB,4 vCPUs,4.00 GiB/vCPU,0,EBS only,$0.1111 hourly,$0.0734 hourly,$0.2574 hourly,$0.2176 hourly,Amazon EC2
C6IN Large,c6in.large,4.0 GiB,2 vCPUs,2.00 GiB/vCPU,0,EBS only,$0.1134 hourly,$0.0714 hourly,$0.1634 hourly,$0.1277 hourly,Amazon EC2
C7GD Extra Large,c7gd.xlarge,8.0 GiB,4 vCPUs,2.00 GiB/vCPU,0,237 GB NVMe SSD,$0.1152 hourly,$0.0726 hourly,unavailable,unavailable,Amazon EC2
M7G Extra Large,m7g.xlarge,16.0 GiB,4 vCPUs,4.00 GiB/vCPU,0,EBS only,$0.1166 hourly,$0.0770 hourly,unavailable,unavailable,Amazon EC2
M6GD Extra Large,m6gd.xlarge,16.0 GiB,4 vCPUs,4.00 GiB/vCPU,0,237 GB NVMe SSD,$0.1208 hourly,$0.0761 hourly,unavailable,unavailable,Amazon EC2
M5 General Purpose Large,m5d.large,8.0 GiB,2 vCPUs,4.00 GiB/vCPU,0,75 GB NVMe SSD,$0.1220 hourly,$0.0770 hourly,$0.1690 hourly,$0.1244 hourly,Amazon EC2
M6ID Large,m6id.large,8.0 GiB,2 vCPUs,4.00 GiB/vCPU,0,118 GB NVMe SSD,$0.1281 hourly,$0.0807 hourly,$0.1727 hourly,$0.1300 hourly,Amazon EC2
R6I Large,r6i.large,16.0 GiB,2 vCPUs,8.00 GiB/vCPU,0,EBS only,$0.1300 hourly,$0.0854 hourly,$0.1774 hourly,$0.1346 hourly,Amazon EC2
R5 Large,r5.large,16.0 GiB,2 vCPUs,8.00 GiB/vCPU,0,EBS only,$0.1300 hourly,$0.0810 hourly,$0.1730 hourly,$0.1273 hourly,Amazon EC2
R6G Extra Large,r6g.xlarge,32.0 GiB,4 vCPUs,8.00 GiB/vCPU,0,EBS only,$0.1300 hourly,$0.0819 hourly,unavailable,unavailable,Amazon EC2
M5AD Extra Large,m5ad.xlarge,16.0 GiB,4 vCPUs,4.00 GiB/vCPU,0,150 GB NVMe SSD,$0.1340 hourly,$0.0850 hourly,$0.2690 hourly,$0.2265 hourly,Amazon EC2
R7I Large,r7i.large,16.0 GiB,2 vCPUs,8.00 GiB/vCPU,0,EBS only,$0.1365 hourly,$0.0897 hourly,$0.1817 hourly,$0.1495 hourly,Amazon EC2
R4 High-Memory Large,r4.large,15.25 GiB,2 vCPUs,7.62 GiB/vCPU,0,EBS only,$0.1370 hourly,$0.0861 hourly,$0.1781 hourly,$0.1309 hourly,Amazon EC2
M7GD Extra Large,m7gd.xlarge,16.0 GiB,4 vCPUs,4.00 GiB/vCPU,0,237 GB NVMe SSD,$0.1420 hourly,$0.0895 hourly,unavailable,unavailable,Amazon EC2
R5A Extra Large,r5a.xlarge,32.0 GiB,4 vCPUs,8.00 GiB/vCPU,0,EBS only,$0.1430 hourly,$0.0900 hourly,$0.2740 hourly,$0.2273 hourly,Amazon EC2
R6A Extra Large,r6a.xlarge,32.0 GiB,4 vCPUs,8.00 GiB/vCPU,0,EBS only,$0.1430 hourly,$0.0940 hourly,$0.2780 hourly,$0.2318 hourly,Amazon EC2
R6GD Extra Large,r6gd.xlarge,32.0 GiB,4 vCPUs,8.00 GiB/vCPU,0,237 GB NVMe SSD,$0.1495 hourly,$0.0942 hourly,unavailable,unavailable,Amazon EC2
R7G Extra Large,r7g.xlarge,32.0 GiB,4 vCPUs,8.00 GiB/vCPU,0,EBS only,$0.1502 hourly,$0.0987 hourly,unavailable,unavailable,Amazon EC2
R5D Large,r5d.large,16.0 GiB,2 vCPUs,8.00 GiB/vCPU,0,75 GB NVMe SSD,$0.1510 hourly,$0.0950 hourly,$0.1870 hourly,$0.1358 hourly,Amazon EC2
R5N Large,r5n.large,16.0 GiB,2 vCPUs,8.00 GiB/vCPU,0,EBS only,$0.1530 hourly,$0.0960 hourly,$0.1880 hourly,$0.1360 hourly,Amazon EC2
R6ID Large,r6id.large,16.0 GiB,2 vCPUs,8.00 GiB/vCPU,0,118 GB NVMe SSD,$0.1586 hourly,$0.0999 hourly,$0.1919 hourly,$0.1416 hourly,Amazon EC2
IS4GEN Medium,is4gen.medium,6.0 GiB,1 vCPUs,6.00 GiB/vCPU,0,937 GB NVMe SSD,$0.1638 hourly,$0.1118 hourly,unavailable,unavailable,Amazon EC2
R5AD Extra Large,r5ad.xlarge,32.0 GiB,4 vCPUs,8.00 GiB/vCPU,0,150 GB NVMe SSD,$0.1660 hourly,$0.1050 hourly,$0.2890 hourly,$0.2321 hourly,Amazon EC2
C5 High-CPU Extra Large,c5.xlarge,8.0 GiB,4 vCPUs,2.00 GiB/vCPU,0,EBS only,$0.1700 hourly,$0.1070 hourly,$0.2910 hourly,$0.2315 hourly,Amazon EC2
C6I Extra Large,c6i.xlarge,8.0 GiB,4 vCPUs,2.00 GiB/vCPU,0,EBS only,$0.1700 hourly,$0.1126 hourly,$0.2966 hourly,$0.2341 hourly,Amazon EC2
C6G Double Extra Large,c6g.2xlarge,16.0 GiB,8 vCPUs,2.00 GiB/vCPU,0,EBS only,$0.1704 hourly,$0.1074 hourly,unavailable,unavailable,Amazon EC2
C6GN Extra Large,c6gn.xlarge,8.0 GiB,4 vCPUs,2.00 GiB/vCPU,0,EBS only,$0.1730 hourly,$0.1092 hourly,unavailable,unavailable,Amazon EC2
R7GD Extra Large,r7gd.xlarge,32.0 GiB,4 vCPUs,8.00 GiB/vCPU,0,237 GB NVMe SSD,$0.1760 hourly,$0.1109 hourly,unavailable,unavailable,Amazon EC2
I3 High I/O Large,i3.large,15.25 GiB,2 vCPUs,7.62 GiB/vCPU,0,475 GB NVMe SSD,$0.1770 hourly,$0.1220 hourly,$0.2140 hourly,$0.1391 hourly,Amazon EC2
C7I Extra Large,c7i.xlarge,8.0 GiB,4 vCPUs,2.00 GiB/vCPU,0,EBS only,$0.1785 hourly,$0.1182 hourly,$0.3022 hourly,$0.2347 hourly,Amazon EC2
T3 Extra Large,t3.xlarge,16.0 GiB,4 vCPUs,4.00 GiB/vCPU,0,EBS only,$0.1792 hourly,$0.1129 hourly,$0.1865 hourly,$0.1270 hourly,Amazon EC2
T4G Double Extra Large,t4g.2xlarge,32.0 GiB,8 vCPUs,4.00 GiB/vCPU,0,EBS only,$0.1792 hourly,$0.1133 hourly,unavailable,unavailable,Amazon EC2
C6A Double Extra Large,c6a.2xlarge,16.0 GiB,8 vCPUs,2.00 GiB/vCPU,0,EBS only,$0.1870 hourly,$0.1238 hourly,$0.4918 hourly,$0.4240 hourly,Amazon EC2
C5A Double Extra Large,c5a.2xlarge,16.0 GiB,8 vCPUs,2.00 GiB/vCPU,0,EBS only,$0.1880 hourly,$0.1180 hourly,$0.4860 hourly,$0.4255 hourly,Amazon EC2
R3 High-Memory Large,r3.large,15.25 GiB,2 vCPUs,7.62 GiB/vCPU,0,32 GB SSD,$0.1900 hourly,$0.1450 hourly,$0.2370 hourly,$0.1424 hourly,Amazon EC2
I4I Large,i4i.large,16.0 GiB,2 vCPUs,8.00 GiB/vCPU,0,468 GB NVMe SSD,$0.1950 hourly,$0.1270 hourly,$0.2190 hourly,$0.1464 hourly,Amazon EC2
Z1D Large,z1d.large,16.0 GiB,2 vCPUs,8.00 GiB/vCPU,0,75 GB NVMe SSD,$0.1960 hourly,$0.1230 hourly,$0.2150 hourly,$0.1494 hourly,Amazon EC2
C6GD Double Extra Large,c6gd.2xlarge,16.0 GiB,8 vCPUs,2.00 GiB/vCPU,0,474 GB NVMe SSD,$0.1960 hourly,$0.1235 hourly,unavailable,unavailable,Amazon EC2
C7G Double Extra Large,c7g.2xlarge,16.0 GiB,8 vCPUs,2.00 GiB/vCPU,0,EBS only,$0.1963 hourly,$0.1300 hourly,unavailable,unavailable,Amazon EC2
T3A Double Extra Large,t3a.2xlarge,32.0 GiB,8 vCPUs,4.00 GiB/vCPU,0,EBS only,$0.1971 hourly,$0.1242 hourly,$0.2714 hourly,$0.2116 hourly,Amazon EC2
C5 High-CPU Extra Large,c5d.xlarge,8.0 GiB,4 vCPUs,2.00 GiB/vCPU,0,100 GB NVMe SSD,$0.1980 hourly,$0.1250 hourly,$0.3090 hourly,$0.2421 hourly,Amazon EC2
T2 Extra Large,t2.xlarge,16.0 GiB,4 vCPUs,4.00 GiB/vCPU,0,EBS only,$0.1984 hourly,$0.1236 hourly,$0.1646 hourly,$0.1027 hourly,Amazon EC2
C4 High-CPU Extra Large,c4.xlarge,7.5 GiB,4 vCPUs,1.88 GiB/vCPU,0,EBS only,$0.2000 hourly,$0.1360 hourly,$0.3200 hourly,$0.2380 hourly,Amazon EC2
M7I-FLEX Extra Large,m7i-flex.xlarge,16.0 GiB,4 vCPUs,4.00 GiB/vCPU,0,EBS only,$0.2015 hourly,$0.1331 hourly,$0.3079 hourly,$0.2395 hourly,Amazon EC2
M6I Extra Large,m6i.xlarge,16.0 GiB,4 vCPUs,4.00 GiB/vCPU,0,EBS only,$0.2020 hourly,$0.1334 hourly,$0.3174 hourly,$0.2464 hourly,Amazon EC2
M5 General Purpose Extra Large,m5.xlarge,16.0 GiB,4 vCPUs,4.00 GiB/vCPU,0,EBS only,$0.2020 hourly,$0.1270 hourly,$0.3110 hourly,$0.2527 hourly,Amazon EC2
M6G Double Extra Large,m6g.2xlarge,32.0 GiB,8 vCPUs,4.00 GiB/vCPU,0,EBS only,$0.2024 hourly,$0.1275 hourly,unavailable,unavailable,Amazon EC2
A1 Double Extra Large,a1.2xlarge,16.0 GiB,8 vCPUs,2.00 GiB/vCPU,0,EBS only,$0.2040 hourly,$0.1285 hourly,unavailable,unavailable,Amazon EC2
M4 General Purpose Extra Large,m4.xlarge,16.0 GiB,4 vCPUs,4.00 GiB/vCPU,0,EBS only,$0.2100 hourly,$0.1309 hourly,$0.3149 hourly,$0.2467 hourly,Amazon EC2
M7I Extra Large,m7i.xlarge,16.0 GiB,4 vCPUs,4.00 GiB/vCPU,0,EBS only,$0.2121 hourly,$0.1401 hourly,$0.3241 hourly,$0.2494 hourly,Amazon EC2
C5N Extra Large,c5n.xlarge,10.5 GiB,4 vCPUs,2.62 GiB/vCPU,0,EBS only,$0.2160 hourly,$0.1360 hourly,$0.3200 hourly,$0.2515 hourly,Amazon EC2
M5A Double Extra Large,m5a.2xlarge,32.0 GiB,8 vCPUs,4.00 GiB/vCPU,0,EBS only,$0.2220 hourly,$0.1400 hourly,$0.5080 hourly,$0.4400 hourly,Amazon EC2
M6A Double Extra Large,m6a.2xlarge,32.0 GiB,8 vCPUs,4.00 GiB/vCPU,0,EBS only,$0.2222 hourly,$0.1467 hourly,$0.5147 hourly,$0.4312 hourly,Amazon EC2
C6IN Extra Large,c6in.xlarge,8.0 GiB,4 vCPUs,2.00 GiB/vCPU,0,EBS only,$0.2268 hourly,$0.1429 hourly,$0.3269 hourly,$0.2518 hourly,Amazon EC2
C7GD Double Extra Large,c7gd.2xlarge,16.0 GiB,8 vCPUs,2.00 GiB/vCPU,0,474 GB NVMe SSD,$0.2304 hourly,$0.1452 hourly,unavailable,unavailable,Amazon EC2
M7G Double Extra Large,m7g.2xlarge,32.0 GiB,8 vCPUs,4.00 GiB/vCPU,0,EBS only,$0.2333 hourly,$0.1541 hourly,unavailable,unavailable,Amazon EC2
INF1 Extra Large,inf1.xlarge,8.0 GiB,4 vCPUs,2.00 GiB/vCPU,1,EBS only,$0.2400 hourly,$0.1510 hourly,unavailable,unavailable,Amazon EC2
M6GD Double Extra Large,m6gd.2xlarge,32.0 GiB,8 vCPUs,4.00 GiB/vCPU,0,474 GB NVMe SSD,$0.2416 hourly,$0.1522 hourly,unavailable,unavailable,Amazon EC2
M5 General Purpose Extra Large,m5d.xlarge,16.0 GiB,4 vCPUs,4.00 GiB/vCPU,0,150 GB NVMe SSD,$0.2440 hourly,$0.1540 hourly,$0.3380 hourly,$0.2618 hourly,Amazon EC2
M6ID Extra Large,m6id.xlarge,16.0 GiB,4 vCPUs,4.00 GiB/vCPU,0,237 GB NVMe SSD,$0.2562 hourly,$0.1614 hourly,$0.3454 hourly,$0.2663 hourly,Amazon EC2
